5.590720  ,0.198569  ,8.038342
1.049972  ,-4.159171 ,7.991945
5.822684  ,-0.423464 ,7.924094
0.714586  ,1.285622  ,8.127811
-3.428371 ,-2.421944 ,7.836371
-0.487325 ,-3.039069 ,7.863937
-3.664897 ,-3.830768 ,7.900602
-3.442854 ,-2.230136 ,7.885398
-3.684443 ,-4.020881 ,7.864926
-3.758603 ,-2.591667 ,7.893522
5.685722  ,0.795125  ,8.141246
-3.230488 ,-2.955717 ,7.969623
-5.891911 ,-3.553852 ,7.911069
-2.851759 ,-0.288797 ,8.073338
-3.520080 ,-3.923854 ,7.834325
-2.383660 ,-1.316828 ,7.983930
-1.054356 ,-0.698389 ,7.721455
1.686572  ,-4.180092 ,7.905085
-0.362833 ,-2.047578 ,8.005975
5.652314  ,0.304799  ,8.154546
4.703960  ,-3.893879 ,7.958292
-0.252795 ,-3.290159 ,7.955049
-1.128842 ,-2.227285 ,8.036670
-0.798409 ,-2.288171 ,8.235620
-1.509630 ,-2.513167 ,7.992814
1.711106  ,-1.915405 ,8.062520
-0.856864 ,-2.194284 ,8.076173
-2.926766 ,-1.645183 ,7.994995
-0.561420 ,-1.831853 ,8.081410
-1.536856 ,-1.751463 ,8.033001
0.289305  ,-0.698746 ,8.035779
-3.603918 ,-1.323721 ,7.926593
5.666028  ,-2.861322 ,8.118482
-0.873129 ,-1.769601 ,8.017021
-3.453925 ,-0.446788 ,8.166780
-3.696369 ,-1.924930 ,7.896720
2.868270  ,-2.015039 ,8.107957
-3.142319 ,0.860173  ,8.244982
1.842182  ,-1.891444 ,8.122494
-3.249893 ,1.299003  ,8.109520
0.093422  ,0.554242  ,8.045227
1.108981  ,-1.361896 ,8.020427
-7.831831 ,2.126007  ,19.346901
0.182620  ,-0.533443 ,8.111924
-1.490902 ,-2.198151 ,8.003336
-2.905340 ,0.923877  ,8.164958
-2.790995 ,1.577117  ,8.446830
-4.315966 ,-2.027098 ,8.009124
-4.877848 ,-0.750620 ,8.037524
-3.008958 ,0.120938  ,7.972438
-2.941083 ,1.194929  ,8.058564
